id: "Spell Command"
type: ItemType_ShamanTotem
uirep {
  icon: "icon_shaman_spell_totemrat_steal"
  name: "Command Spirit"
  description: "Resets a targeted spirit\'s breakaway chance to 0%."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 1
apCost: 1
prereqStrings: "Player.SKILL.Skill_SpiritSummoning >= 1"
prereqStrings: "Player.FLAG.CAN_SUMMON_SPIRITS == 1"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 5
noiseRounds: 1
modelessAbilities: "Spirit Attack"
affectsFriendly: false
affectsEnemy: true
canTargetSelf: false
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isDebuff: true
cooldown: 1
isMagic: true
effectDuration: 3
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_confusion"
    name: "0% Escape Chance"
  }
  statMods {
    attribute: Attribute_Spirit_Escape_Mod
    intModValue: -500
  }
  fxScript: "GenericSpellStatus"
  stackingCategory: "Escape"
  is_buff: true
}
sorting_group: "Unique"
damageType: VulnerabilityType_ActionPoints
